colA	colB	condition	conditionDetail	correctResponse
amande	noix	1	SpoA	1
voile	table	4	spoA	0
tasse	assiette	1	SpoB	1
mur	toit	1	SpoB	1
nouilles	ravioli	1	SpoB	1
cygne	tuyau	4	spoA	0
radio	téléphone	1	SpoA	1
tortue	crabe	1	SpoA	1
travail	étude	1	SpoB	1
yeux	nez	1	SpoA	1
colis	timbre	1	SpoA	1
pierre	nourriture	2	sPo	0
biographie	tradition	3	spO	0
natation	surf	1	SpoA	1
lunette	acteur	2	sPo	0
ananas	papaye	1	SpoB	1
ange	démon	1	SpoB	1
araignée	fourmi	1	SpoA	1
argent	richesse	1	SpoA	1
avion	tank	1	SpoA	1
banane	pêche	1	SpoB	1
bar	restaurant	1	SpoB	1
beurre	fromage	1	SpoB	1
canapé	chaise	1	SpoA	1
canon	bombe	1	SpoA	1
cerise	myrtille	1	SpoA	1
chameau	éléphant	1	SpoA	1
clavier	écran	1	SpoA	1
collier	bague	1	SpoA	1
concombre	aubergine	1	SpoA	1
conférence	présentation	1	SpoB	1
danse	yoga	1	SpoA	1
douane	passeport	1	SpoA	1
étoile	lune	1	SpoB	1
fenêtre	cheminée	1	SpoA	1
film	opéra	1	SpoA	1
foulard	gant	1	SpoA	1
fraise	mangue	1	SpoB	1
hôpital	clinique	1	SpoA	1
horloge	montre	1	SpoB	1
jus	lait	1	SpoB	1
kangourou	singe	1	SpoB	1
litchi	coco	1	SpoB	1
maison	château	1	SpoB	1
médecin	infirmière	1	SpoA	1
métro	train	1	SpoB	1
oignon	ail	1	SpoB	1
pain	dessert	1	SpoA	1
pantalon	manteau	1	SpoA	1
papier	manuel	1	SpoA	1
paradis	enfer	1	SpoB	1
père	fils	1	SpoA	1
piano	guitare	1	SpoB	1
pomme	orange	1	SpoB	1
professeur	étudiant	1	SpoB	1
pull	chemise	1	SpoB	1
religion	croyance	1	SpoB	1
salon	chambre	1	SpoB	1
secrétaire	assistant	1	SpoA	1
soie	coton	1	SpoB	1
télévision	frigo	1	SpoA	1
tigre	lion	1	SpoB	1
ville	campagne	1	SpoB	1
voleur	police	1	SpoA	1
zèbre	léopard	1	SpoB	1
article	moustique	2	sPo	0
attaque	habitude	2	sPo	0
barbe	renard	2	sPo	0
blague	efficacité	2	sPo	0
bougie	piment	2	sPo	0
capital	doigt	2	sPo	0
célèbre	attention	2	sPo	0
cheveux	investissement	2	sPo	0
commerçant	blessure	2	sPo	0
couleur	sérieux	2	sPo	0
endroit	premier	2	sPo	0
expérience	surprise	2	sPo	0
frère	poitrine	2	sPo	0
garçon	sud	2	sPo	0
gingembre	voix	2	sPo	0
ouvrier	palais	2	sPo	0
paix	rivière	2	sPo	0
poire	divorce	2	sPo	0
rouge	inondation	2	sPo	0
saison	journaliste	2	sPo	0
servant	raisin	2	sPo	0
soleil	attitude	2	sPo	0
solitude	tante	2	sPo	0
système	détail	2	sPo	0
vêtement	médecine	2	sPo	0
vidéo	maire	2	sPo	0
violence	journal	2	sPo	0
vocabulaire	démission	2	sPo	0
acclamer	boire	3	spO	0
affaiblir	éplucher	3	spO	0
air	espace	3	spO	0
angle	rôle	3	spO	0
carte	blocage	3	spO	0
coiffure	publication	3	spO	0
comptable	réunion	3	spO	0
confisqué	inutile	3	spO	0
considérer	surveiller	3	spO	0
contrefaçon	vacances	3	spO	0
atelier	triche	3	spO	0
devoir	appliquer	3	spO	0
diviser	canoter	3	spO	0
empoisonné	milieu	3	spO	0
excitation	intérêt	3	spO	0
exploiter	peler	3	spO	0
faillite	reflet	3	spO	0
flirter	enquêter	3	spO	0
inévitable	réfugié	3	spO	0
intervalle	espion	3	spO	0
jargon	action	3	spO	0
lance-pierre	ressort	3	spO	0
longueur	apparence	3	spO	0
récitation	sac-à-dos	3	spO	0
plantation	race	3	spO	0
précaution	rappel	3	spO	0
répétition	poids	3	spO	0
secret	Pérou	3	spO	0
vrac	promenade	3	spO	0
abeille	budget	4	spoA	0
accident	parfum	4	spoB	0
agenda	chauffage	4	spoA	0
alerte	chaussette 	4	spoB	0
ami	chapeau	4	spoB	0
auteur	ceinture	4	spoB	0
